221,1,1,1,2
222,2,1,1,4
223,3,1,1,3
225,1,0,0,1
226,2,1,5,9
227,3,0,0,2
229,1,1,3,4
230,2,0,0,8
231,3,0,0,1
231,3,1,1,2
233,1,0,0,3
234,2,1,5,13
235,3,0,0,1
235,3,1,1,2
237,1,0,0,2
238,2,1,3,16
239,3,0,0,1
241,3,1,1,2
242,2,0,0,15
243,1,1,1,3
246,3,1,1,3
247,2,0,0,14
248,1,0,0,2
250,3,0,0,2
251,2,0,0,13
253,3,0,0,1
253,3,1,1,2
254,3,0,0,1
255,2,1,5,18
256,1,0,0,1
258,3,1,1,2
259,1,1,1,2
261,3,0,0,1
262,1,1,4,6
264,3,1,1,2
265,1,0,0,5
267,3,0,0,1
268,1,0,0,4
270,3,1,1,2
271,1,1,1,5
273,3,1,1,3
274,1,1,1,6
276,3,1,1,4
277,1,1,1,7
279,3,1,1,5
280,1,1,1,8
283,3,0,0,4
284,3,0,0,3
286,1,0,0,7
287,3,1,3,6
289,1,1,2,9
290,3,0,0,5
292,1,0,0,8
293,3,0,0,4
295,1,0,0,7
296,3,0,0,3
298,1,0,0,6
299,3,1,1,4
301,1,1,1,7
302,3,0,0,3
304,1,0,0,6
305,3,1,3,6
307,1,1,1,7
308,3,1,1,7
310,1,1,5,12
311,3,0,0,6
313,1,0,0,11
314,3,1,8,14
316,1,1,2,13
317,3,0,0,13
319,1,0,0,12
320,3,0,0,12
322,1,0,0,11
323,1,0,0,10
325,1,0,0,9
326,3,0,0,11
328,1,0,0,8
329,3,0,0,10
331,1,0,0,7
332,3,0,0,9
334,1,1,5,12
335,3,0,0,8
336,1,0,0,11
338,3,0,0,7
339,1,0,0,10
341,3,1,5,12
342,1,0,0,9
343,3,0,0,11
345,1,0,0,8
346,3,1,3,14
348,1,0,0,7
349,1,0,0,6
350,1,0,0,5
351,3,0,0,13
352,1,0,0,4
354,1,0,0,3
355,3,1,3,16
357,1,0,0,2
358,3,0,0,15
360,1,0,0,1
361,3,1,6,21
362,1,1,1,2
364,1,1,1,3
366,1,1,5,8
368,1,0,0,7
370,1,0,0,6
372,1,0,0,5
374,1,0,0,4
376,1,1,3,7
378,1,1,3,10
380,1,0,0,9
